descripcion,filas_excluidas
Caldo de pollo (Sopita Concentrada),18087
"Agua purificada (Dasani, Planeta Azul y similares)",7775
Plátano verde,7690
Guineo verde (guineíto),5577
Aguacate,2417
Tomate Barceló o Bugalú,1982
PLÁTANO VERDE,1836
Plátano maduro,1815
Sazón líquido,1756
Ají gustoso o cachucha,1616
GUINEITO VERDE,1513
"Apio planta, apio gusto",1449
Naranja agria,1394
Guineo maduro (banano),1313
Berenjena corriente,1068
Margarina,1013
Tomates de ensalada,946
Limón agrio,920
Cilantro,887
Tayota,815
