id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
279;1;279_1;24;PLÁTANO VERDE;NA;1;4;4;0;415.510416666666;1;NA;NA;NA;PLÁTANO VERDE;70212131;INCAP;directa;TRUE;0,66;7
279;1;279_1;25;GUINEITO VERDE;NA;66;2;2;0;415.510416666666;66;NA;NA;NA;GUINEITO VERDE;70212011;INCAP;directa;TRUE;0,66;7
279;1;279_1;29;AZUCARES;NA;2;1;1;0;415.510416666666;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
232;1;232_1;5;AVENA;56;2;0.5;0.5;0;690.08260726615;56;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
232;1;232_1;7;ARROZ;NA;2;19;19;0;690.08260726615;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
232;1;232_1;12;MARISCOS;NA;2;0.5;0.5;0;690.08260726615;2;453.592;NA;453.592;MARISCOS;70208005;INCAP;sustituto_por_criterio;TRUE;0,47;7
232;1;232_1;13;LECHE LÍQUIDA;NA;7;0.5;0.5;0;690.08260726615;7;1000;NA;1000;LECHE LíQUIDA;70201015;INCAP;directa;TRUE;1,00;7
232;1;232_1;15;HUEVOS;NA;1;12;12;0;690.08260726615;1;NA;NA;NA;HUEVOS;70202002;INCAP;directa;TRUE;0,88;7
232;1;232_1;16;ACEITE;NA;4;32;32;0;690.08260726615;4;28.3495;NA;28.3495;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
232;1;232_1;27;HABICHUELAS SUELTAS;NA;2;1;1;0;690.08260726615;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
242;1;242_1;1;PANES;56;1;1;1;0;345.916666666667;56;NA;NA;NA;PANES;70214131;INCAP;sustituto_por_criterio;TRUE;1,00;7
242;1;242_1;3;GALLETAS SALADAS;56;1;1;1;0;345.916666666667;56;NA;NA;NA;GALLETAS SALADAS;70214010;INCAP;directa;TRUE;1,00;7
