variedad;descripcion;unidad_nombre;id_unidad_medida_presentacion;frecuencia_real;n_usable;n_total_combo;FC_propuesto;p25;p75;dispersión_relativa;confianza;fuente;nota_revision
5;AVENA;Funda;56.0;1621;1573;1621;453.6;453.6;650.0;0.43;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
4;HARÍNA DE MAÍZ;Funda;56.0;1524;1524;1524;396.9;396.9;453.6;0.14;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
17;MANTEQUILLA;Tarro;105.0;1245;1216;1245;453.6;425.0;453.6;0.06;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
13;LECHE LÍQUIDA;Cartón;31.0;1207;1207;1207;1000.0;1000.0;1000.0;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
6;FIEDOS O SPAGUETTIS (PASTAS);Funda;56.0;995;994;995;400.0;396.9;453.6;0.14;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
6;FIEDOS O SPAGUETTIS (PASTAS);Paquete;8.0;755;755;755;400.0;396.9;453.6;0.14;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
14;LECHE EN POLVO;Lata;63.0;611;611;611;850.0;600.0;1600.0;1.18;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
3;GALLETAS SALADAS;Paquete;8.0;593;524;593;34.0;28.3;36.0;0.23;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
28;HABICHUELAS ENLATADAS;Lata;63.0;568;568;568;425.2;425.0;425.2;0.0;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
20;SARDINAS EN ACEITE;Lata;63.0;444;427;444;125.0;106.0;170.1;0.51;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
14;LECHE EN POLVO;Funda;56.0;436;435;436;1000.0;454.3;2000.0;1.55;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Revisado: variedad real de tamaños comerciales (no es ruido de captura)
21;PICA PICA;Lata;63.0;434;430;434;360.0;170.1;425.2;0.71;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
23;ATÚN EN ACEITE;Lata;63.0;407;407;407;142.0;141.7;170.1;0.2;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
22;ATÚN EN AGUA;Lata;63.0;388;388;388;142.0;141.3;170.1;0.2;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
2;GALLETAS DULCES;Paquete;8.0;353;303;353;36.0;30.0;48.0;0.5;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
