variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;unidad_nombre;total_alimento;pct_del_alimento;estado_revision;decision;justificacion
1;PANES;8.0;2;Paquete;1373;0.146;PENDIENTE;;
1;PANES;21.0;1;Botellón;1373;0.073;PENDIENTE;;
1;PANES;57.0;1;Galón;1373;0.073;PENDIENTE;;
1;PANES;93.0;1;Rebanada;1373;0.073;PENDIENTE;;
2;GALLETAS DULCES;21.0;1;Botellón;741;0.135;PENDIENTE;;
2;GALLETAS DULCES;63.0;1;Lata;741;0.135;PENDIENTE;;
2;GALLETAS DULCES;87.0;1;Pote;741;0.135;PENDIENTE;;
2;GALLETAS DULCES;91.0;1;Racimo;741;0.135;PENDIENTE;;
3;GALLETAS SALADAS;21.0;1;Botellón;1274;0.078;PENDIENTE;;
3;GALLETAS SALADAS;31.0;1;Cartón;1274;0.078;PENDIENTE;;
4;HARÍNA DE MAÍZ;23.0;2;Caja;1685;0.119;PENDIENTE;;
4;HARÍNA DE MAÍZ;98.0;1;Sobre;1685;0.059;PENDIENTE;;
5;AVENA;87.0;3;Pote;2438;0.123;PENDIENTE;;
5;AVENA;57.0;1;Galón;2438;0.041;PENDIENTE;;
5;AVENA;63.0;1;Lata;2438;0.041;PENDIENTE;;
5;AVENA;105.0;1;Tarro;2438;0.041;PENDIENTE;;
9;POLLO;56.0;3;Funda;917;0.327;PENDIENTE;;
9;POLLO;1.0;1;Unidad;917;0.109;PENDIENTE;;
9;POLLO;25.0;1;Cajita;917;0.109;PENDIENTE;;
9;POLLO;63.0;1;Lata;917;0.109;PENDIENTE;;
12;MARISCOS;23.0;1;Caja;79;1.266;PENDIENTE;;
13;LECHE LÍQUIDA;25.0;3;Cajita;1913;0.157;PENDIENTE;;
13;LECHE LÍQUIDA;60.0;3;Jarro;1913;0.157;PENDIENTE;;
13;LECHE LÍQUIDA;8.0;1;Paquete;1913;0.052;PENDIENTE;;
13;LECHE LÍQUIDA;56.0;1;Funda;1913;0.052;PENDIENTE;;
14;LECHE EN POLVO;23.0;2;Caja;1550;0.129;PENDIENTE;;
14;LECHE EN POLVO;1.0;1;Unidad;1550;0.065;PENDIENTE;;
15;HUEVOS;23.0;1;Caja;2732;0.037;PENDIENTE;;
16;ACEITE;7.0;3;Litro;4937;0.061;PENDIENTE;;
16;ACEITE;21.0;1;Botellón;4937;0.02;PENDIENTE;;
16;ACEITE;52.0;1;Docena;4937;0.02;PENDIENTE;;
17;MANTEQUILLA;63.0;2;Lata;1556;0.129;PENDIENTE;;
17;MANTEQUILLA;23.0;1;Caja;1556;0.064;PENDIENTE;;
18;SALAMI;1.0;2;Unidad;1850;0.108;PENDIENTE;;
18;SALAMI;2.0;1;Libra;1850;0.054;PENDIENTE;;
18;SALAMI;105.0;1;Tarro;1850;0.054;PENDIENTE;;
18;SALAMI;111.0;1;Trozo;1850;0.054;PENDIENTE;;
18;SALAMI;113.0;1;;1850;0.054;PENDIENTE;;
22;ATÚN EN AGUA;23.0;1;Caja;435;0.23;PENDIENTE;;
22;ATÚN EN AGUA;31.0;1;Cartón;435;0.23;PENDIENTE;;
22;ATÚN EN AGUA;87.0;1;Pote;435;0.23;PENDIENTE;;
24;PLÁTANO VERDE;90.0;1;Quintal;1837;0.054;PENDIENTE;;
26;PAPAS;91.0;1;Racimo;1217;0.082;PENDIENTE;;
27;HABICHUELAS SUELTAS;63.0;1;Lata;2484;0.04;PENDIENTE;;
27;HABICHUELAS SUELTAS;97.0;1;Saco;2484;0.04;PENDIENTE;;
27;HABICHUELAS SUELTAS;105.0;1;Tarro;2484;0.04;PENDIENTE;;
30;CHOCOLATE O COCOA;20.0;2;Botella;1602;0.125;PENDIENTE;;
30;CHOCOLATE O COCOA;63.0;2;Lata;1602;0.125;PENDIENTE;;
30;CHOCOLATE O COCOA;31.0;1;Cartón;1602;0.062;PENDIENTE;;
