variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;unidad_nombre;total_alimento;pct_del_alimento
0;;;4;;6;66.667
0;;63.0;1;Lata;6;16.667
0;;99.0;1;;6;16.667
1;PANES;;1117;;1373;81.355
1;PANES;56.0;205;Funda;1373;14.931
1;PANES;117.0;46;Viga;1373;3.35
1;PANES;8.0;2;Paquete;1373;0.146
1;PANES;21.0;1;Botellón;1373;0.073
1;PANES;57.0;1;Galón;1373;0.073
1;PANES;93.0;1;Rebanada;1373;0.073
2;GALLETAS DULCES;8.0;353;Paquete;741;47.638
2;GALLETAS DULCES;;353;;741;47.638
2;GALLETAS DULCES;56.0;20;Funda;741;2.699
2;GALLETAS DULCES;98.0;7;Sobre;741;0.945
2;GALLETAS DULCES;23.0;4;Caja;741;0.54
2;GALLETAS DULCES;21.0;1;Botellón;741;0.135
2;GALLETAS DULCES;63.0;1;Lata;741;0.135
2;GALLETAS DULCES;87.0;1;Pote;741;0.135
2;GALLETAS DULCES;91.0;1;Racimo;741;0.135
3;GALLETAS SALADAS;8.0;593;Paquete;1274;46.546
3;GALLETAS SALADAS;;550;;1274;43.171
3;GALLETAS SALADAS;23.0;90;Caja;1274;7.064
3;GALLETAS SALADAS;56.0;39;Funda;1274;3.061
3;GALLETAS SALADAS;21.0;1;Botellón;1274;0.078
3;GALLETAS SALADAS;31.0;1;Cartón;1274;0.078
4;HARÍNA DE MAÍZ;56.0;1524;Funda;1685;90.445
4;HARÍNA DE MAÍZ;;149;;1685;8.843
4;HARÍNA DE MAÍZ;8.0;9;Paquete;1685;0.534
4;HARÍNA DE MAÍZ;23.0;2;Caja;1685;0.119
4;HARÍNA DE MAÍZ;98.0;1;Sobre;1685;0.059
5;AVENA;56.0;1621;Funda;2438;66.489
5;AVENA;;648;;2438;26.579
5;AVENA;8.0;87;Paquete;2438;3.568
5;AVENA;98.0;72;Sobre;2438;2.953
5;AVENA;23.0;4;Caja;2438;0.164
5;AVENA;87.0;3;Pote;2438;0.123
5;AVENA;57.0;1;Galón;2438;0.041
5;AVENA;63.0;1;Lata;2438;0.041
5;AVENA;105.0;1;Tarro;2438;0.041
6;FIEDOS O SPAGUETTIS (PASTAS);;1077;;2840;37.923
6;FIEDOS O SPAGUETTIS (PASTAS);56.0;995;Funda;2840;35.035
6;FIEDOS O SPAGUETTIS (PASTAS);8.0;755;Paquete;2840;26.585
6;FIEDOS O SPAGUETTIS (PASTAS);23.0;9;Caja;2840;0.317
6;FIEDOS O SPAGUETTIS (PASTAS);98.0;4;Sobre;2840;0.141
7;ARROZ;;4454;;4639;96.012
7;ARROZ;56.0;108;Funda;4639;2.328
7;ARROZ;97.0;61;Saco;4639;1.315
7;ARROZ;8.0;16;Paquete;4639;0.345
8;CARNE DE RES;;521;;545;95.596
8;CARNE DE RES;8.0;24;Paquete;545;4.404
9;POLLO;;851;;917;92.803
9;POLLO;8.0;60;Paquete;917;6.543
9;POLLO;56.0;3;Funda;917;0.327
9;POLLO;1.0;1;Unidad;917;0.109
9;POLLO;25.0;1;Cajita;917;0.109
9;POLLO;63.0;1;Lata;917;0.109
10;CARNE DE CERDO;;569;;595;95.63
10;CARNE DE CERDO;8.0;26;Paquete;595;4.37
11;PESCADO;;334;;365;91.507
11;PESCADO;8.0;31;Paquete;365;8.493
12;MARISCOS;;64;;79;81.013
12;MARISCOS;8.0;14;Paquete;79;17.722
12;MARISCOS;23.0;1;Caja;79;1.266
13;LECHE LÍQUIDA;31.0;1207;Cartón;1913;63.095
13;LECHE LÍQUIDA;;229;;1913;11.971
13;LECHE LÍQUIDA;87.0;161;Pote;1913;8.416
13;LECHE LÍQUIDA;63.0;149;Lata;1913;7.789
13;LECHE LÍQUIDA;23.0;100;Caja;1913;5.227
13;LECHE LÍQUIDA;20.0;28;Botella;1913;1.464
13;LECHE LÍQUIDA;57.0;19;Galón;1913;0.993
13;LECHE LÍQUIDA;55.0;12;Frasco;1913;0.627
13;LECHE LÍQUIDA;25.0;3;Cajita;1913;0.157
13;LECHE LÍQUIDA;60.0;3;Jarro;1913;0.157
13;LECHE LÍQUIDA;8.0;1;Paquete;1913;0.052
13;LECHE LÍQUIDA;56.0;1;Funda;1913;0.052
14;LECHE EN POLVO;63.0;611;Lata;1550;39.419
14;LECHE EN POLVO;56.0;436;Funda;1550;28.129
14;LECHE EN POLVO;;350;;1550;22.581
14;LECHE EN POLVO;98.0;143;Sobre;1550;9.226
14;LECHE EN POLVO;8.0;7;Paquete;1550;0.452
14;LECHE EN POLVO;23.0;2;Caja;1550;0.129
