descripcion;unidad_nombre;vivienda;hogar;id_unidad_medida_base;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar
PANES;Paquete;3026;1;1.0;1.0;0.0;1.0
PANES;Paquete;11003;1;1.0;2.0;0.0;2.0
PANES;Botellón;5512;1;57.0;4.0;1.0;3.0
PANES;Galón;3912;1;5.0;0.5;0.0;0.5
PANES;Rebanada;10061;1;3.0;1.0;0.0;1.0
GALLETAS DULCES;Botellón;4512;1;57.0;4.0;0.0;4.0
GALLETAS DULCES;Lata;10603;1;3.0;1.0;0.0;1.0
GALLETAS DULCES;Pote;431;1;2.0;0.75;0.5;0.25
GALLETAS DULCES;Racimo;3609;1;;1.0;0.0;1.0
GALLETAS SALADAS;Botellón;4506;1;3.0;8.0;1.0;7.0
GALLETAS SALADAS;Cartón;5549;1;3.0;6.0;2.0;4.0
HARÍNA DE MAÍZ;Caja;4947;1;3.0;1.0;0.0;1.0
HARÍNA DE MAÍZ;Caja;2310;1;2.0;1.0;0.0;1.0
HARÍNA DE MAÍZ;Sobre;4387;1;3.0;2.0;2.0;0.0
AVENA;Pote;4229;1;3.0;0.5;0.0;0.5
AVENA;Pote;6820;1;2.0;0.75;0.75;0.0
AVENA;Pote;7749;2;3.0;1.0;0.5;0.5
AVENA;Galón;6357;1;3.0;2.5;0.0;2.5
AVENA;Lata;4767;1;4.0;1.0;0.5;0.5
AVENA;Tarro;6756;1;3.0;0.25;0.0;0.25
POLLO;Funda;1143;1;2.0;1.0;0.0;1.0
POLLO;Funda;2129;1;2.0;2.0;1.0;1.0
POLLO;Funda;7883;1;2.0;2.0;0.5;1.5
POLLO;Unidad;404;1;2.0;1.0;0.0;1.0
POLLO;Cajita;606;1;3.0;5.0;0.0;5.0
POLLO;Lata;8627;1;3.0;4.0;0.0;4.0
MARISCOS;Caja;431;1;3.0;4.0;2.0;2.0
LECHE LÍQUIDA;Cajita;279;1;4.0;1.0;0.0;1.0
LECHE LÍQUIDA;Cajita;3174;1;4.0;3.0;1.0;2.0
LECHE LÍQUIDA;Cajita;4123;1;4.0;10.0;2.0;8.0
LECHE LÍQUIDA;Jarro;6555;1;3.0;1.0;0.0;1.0
LECHE LÍQUIDA;Jarro;7555;1;3.0;2.0;0.0;2.0
LECHE LÍQUIDA;Jarro;5574;1;3.0;1.0;0.0;1.0
LECHE LÍQUIDA;Paquete;5329;1;4.0;12.0;5.0;7.0
LECHE LÍQUIDA;Funda;9937;1;3.0;1200.0;0.5;0.5
LECHE EN POLVO;Caja;3061;1;4.0;0.5;0.0;0.5
LECHE EN POLVO;Caja;9129;1;61.0;0.5;0.25;0.25
LECHE EN POLVO;Unidad;7452;1;3.0;2.0;2.0;0.0
HUEVOS;Caja;6733;1;1.0;1.0;0.0;1.0
ACEITE;Litro;1032;1;2.0;0.5;0.0;0.5
ACEITE;Litro;2125;1;2.0;0.5;0.25;0.25
ACEITE;Litro;8902;1;7.0;0.25;0.0;0.25
ACEITE;Botellón;8578;1;5.0;1.0;0.0;1.0
ACEITE;Docena;2226;1;7.0;1.0;0.75;0.25
MANTEQUILLA;Lata;1465;1;4.0;1.0;0.0;1.0
MANTEQUILLA;Lata;8622;1;3.0;0.5;0.0;0.5
MANTEQUILLA;Caja;5286;1;3.0;1.0;0.75;0.25
SALAMI;Unidad;3555;1;;2.0;1.0;1.0
SALAMI;Unidad;6082;1;2.0;1.0;0.5;0.5
SALAMI;Libra;6202;1;;1.0;0.5;0.5
SALAMI;Tarro;131;1;1.0;1.0;0.5;0.5
SALAMI;Trozo;10259;1;;0.25;0.25;0.0
SALAMI;;932;1;2.0;1.0;1.0;0.0
ATÚN EN AGUA;Caja;10330;1;3.0;6.0;4.0;2.0
ATÚN EN AGUA;Cartón;8789;1;3.0;2.0;0.0;2.0
ATÚN EN AGUA;Pote;431;1;4.0;0.75;0.5;0.25
PLÁTANO VERDE;Quintal;9671;1;;1.0;0.5;0.5
PAPAS;Racimo;12039;1;66.0;3.0;3.0;0.0
HABICHUELAS SUELTAS;Lata;3261;1;4.0;5.0;2.0;3.0
HABICHUELAS SUELTAS;Saco;6691;1;2.0;0.75;0.15;0.6
HABICHUELAS SUELTAS;Tarro;9165;1;3.0;2.0;0.0;2.0
CHOCOLATE O COCOA;Botella;376;1;4.0;1.0;0.5;0.5
CHOCOLATE O COCOA;Botella;10305;1;4.0;1.0;0.75;0.25
CHOCOLATE O COCOA;Lata;79;1;;1.0;0.5;0.5
CHOCOLATE O COCOA;Lata;1075;1;2.0;0.5;0.0;0.5
CHOCOLATE O COCOA;Cartón;8638;1;3.0;10.0;5.0;5.0
