"id_variedad","descripcion_engih","enhance_id","fuente","edible","nombre_incap","notas"
"608","Jugo envasado de manzana","70217143","INCAP","1","Jugo de manzana, s/azucar c/vit c, envasado","PC tomado de INCAP (EDIBLE de Jugo de manzana, s/azucar c/vit c, envasado)"
"287","Huevos criollos (gallina)","70202002","INCAP","0.88","Huevo de gallina, entero, crudo","PC tomado de INCAP (EDIBLE de Huevo de gallina, entero, crudo)"
"532","Pimienta en polvo","70222019","INCAP","1","Pimienta negra","PC tomado de INCAP (EDIBLE de Pimienta negra)"
"312","Mango","70212080","INCAP","0.71","Mango, maduro","PC tomado de INCAP (EDIBLE de Mango, maduro)"
"9","Pan integral","70214039","INCAP","1","Pan integral, tipo bollo","PC tomado de INCAP (EDIBLE de Pan integral, tipo bollo)"
"97","Carne molida de res","70205070","INCAP","1","Res, carne molida, magra (5% grasa), cruda","PC tomado de INCAP (EDIBLE de Res, carne molida, magra (5% grasa), cruda)"
"3992","Manzana roja","70212190","INCAP","0.89","Manzana, roja, c/cascara","PC tomado de INCAP (EDIBLE de Manzana, roja, c/cascara)"
"171","Jamón picnic","70207014","INCAP","1","Jamon de cerdo y res {tipo picnic}","PC tomado de INCAP (EDIBLE de Jamon de cerdo y res {tipo picnic})"
"2473","Azafrán","70222004","INCAP","1","Azafran","PC tomado de INCAP (EDIBLE de Azafran)"
"21","Galletas integrales","70214103","INCAP","1","Galletas integrales c/miel","PC tomado de INCAP (EDIBLE de Galletas integrales c/miel)"
"80","Trigo","70213038","INCAP","1","Harina de trigo, s/enriquecer, todo uso","PC tomado de INCAP (EDIBLE de Harina de trigo, s/enriquecer, todo uso)"
"398","Remolacha","70211147","INCAP","0.67","Remolacha, cruda","PC tomado de INCAP (EDIBLE de Remolacha, cruda)"
"117","Carne de gallina","70203003","INCAP","1","Gallo o gallina, carne cruda","PC tomado de INCAP (EDIBLE de Gallo o gallina, carne cruda)"
"214","Tilapia","70208056","INCAP","1","Pescado, tilapia, fresca","PC tomado de INCAP (EDIBLE de Pescado, tilapia, fresca)"
"316","Cereza","70212002","INCAP","0.8","Acerola, fruta","PC tomado de INCAP (EDIBLE de Acerola, fruta)"
"4915","Atún en trozo en aceite","70208019","INCAP","1","Pescado, atun enlatado c/aceite, solidos","PC tomado de INCAP (EDIBLE de Pescado, atun enlatado c/aceite, solidos)"
"297","Aceite de oliva","70216007","INCAP","1","Aceite de oliva","PC tomado de INCAP (EDIBLE de Aceite de oliva)"
"131","Chuleta de cerdo fresca","70204044","INCAP","0.69","Cerdo, chuleta c/hueso, magra, cruda","PC tomado de INCAP (EDIBLE de Cerdo, chuleta c/hueso, magra, cruda)"
"277","Yogurt bebible natural","70201041","INCAP","1","Yogurt,lecheintegra, natural","PC tomado de INCAP (EDIBLE de Yogurt,lecheintegra, natural)"
"57","Maicena (fécula de maíz) /Maicera (harina de maíz procesada)","70213044","INCAP","1","Maicena o almidon de maiz","PC tomado de INCAP (EDIBLE de Maicena o almidon de maiz)"
"426","Lechuga romana","70211179","INCAP","0.94","Lechuga romana","PC tomado de INCAP (EDIBLE de Lechuga romana)"
"165","Jamón ahumado","70207041","INCAP","1","Jamon ahumado","PC tomado de INCAP (EDIBLE de Jamon ahumado)"
"348","Tamarindo","70212138","INCAP","0.34","Tamarindo, fresco","PC tomado de INCAP (EDIBLE de Tamarindo, fresco)"
"528","Nuez moscada","70222016","INCAP","1","Nuez moscada, molida","PC tomado de INCAP (EDIBLE de Nuez moscada, molida)"
"132","Costillas-pecho de cerdo","70204009","INCAP","0.63","Cerdo, costilla, cruda","PC tomado de INCAP (EDIBLE de Cerdo, costilla, cruda)"
"112","Pechuga de pollo","70203038","INCAP","0.8","Pollo, pechuga c/piel, cruda","PC tomado de INCAP (EDIBLE de Pollo, pechuga c/piel, cruda)"
