id_variedad,descripcion_engih,freq_registros,enhance_id_anterior,enhance_id_nuevo,tipo_equivalencia,motivo
608,Jugo envasado de manzana,483,NA,70217143,directa,Carga de sugerencia revisada (bloque 154)
287,Huevos criollos (gallina),396,NA,70202002,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
532,Pimienta en polvo,330,NA,70222019,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
312,Mango,327,NA,70212080,directa,Carga de sugerencia revisada (bloque 154)
9,Pan integral,319,NA,70214039,directa,Carga de sugerencia revisada (bloque 154)
97,Carne molida de res,306,NA,70205070,directa,Carga de sugerencia revisada (bloque 154)
3992,Manzana roja,278,NA,70212190,directa,Carga de sugerencia revisada (bloque 154)
171,Jamón picnic,278,NA,70207014,directa,Carga de sugerencia revisada (bloque 154)
2473,Azafrán,259,NA,70222004,directa,Carga de sugerencia revisada (bloque 154)
21,Galletas integrales,255,NA,70214103,directa,Carga de sugerencia revisada (bloque 154)
80,Trigo,227,NA,70213038,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
398,Remolacha,226,NA,70211147,directa,Remolacha (DUDOSA): eran las hojas; se consume la raiz
117,Carne de gallina,219,NA,70203003,directa,Carga de sugerencia revisada (bloque 154)
214,Tilapia,218,NA,70208056,directa,Carga de sugerencia revisada (bloque 154)
316,Cereza,197,NA,70212002,sustituto_por_criterio,"Cereza: en RD es acerola, no guinda dulce (vit C 1600 vs 7 mg/100g)"
4915,Atún en trozo en aceite,182,NA,70208019,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
297,Aceite de oliva,150,NA,70216007,directa,Carga de sugerencia revisada (bloque 154)
131,Chuleta de cerdo fresca,145,NA,70204044,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
277,Yogurt bebible natural,142,NA,70201041,directa,"Yogurt bebible natural (DUDOSA): integro, no descremado"
57,Maicena (fécula de maíz) /Maicera (harina de maíz procesada),141,NA,70213044,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
426,Lechuga romana,141,NA,70211179,directa,Carga de sugerencia revisada (bloque 154)
165,Jamón ahumado,132,NA,70207041,directa,Jamon ahumado: era jamon de PAVO; el generico es de cerdo
348,Tamarindo,132,NA,70212138,directa,Carga de sugerencia revisada (bloque 154)
528,Nuez moscada,131,NA,70222016,directa,Carga de sugerencia revisada (bloque 154)
132,Costillas-pecho de cerdo,127,NA,70204009,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
112,Pechuga de pollo,118,NA,70203038,directa,Carga de sugerencia revisada (bloque 154)
121,Hígado de pollo,109,NA,70203028,directa,"Higado de pollo: era PATE envasado, no la viscera cruda"
322,Guayaba,106,NA,70212052,directa,Carga de sugerencia revisada (bloque 154)
384,Yautía coco o pipiota,106,NA,70211195,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
327,Zapote,105,NA,70212152,directa,Zapote: era zapote VERDE; el consumido es zapote mamey
5599,Pan dulce,102,NA,70214127,sustituto_por_criterio,"Pan dulce (DUDOSA): generico simple, no de coco"
169,Jamón de pavo,93,NA,70207032,directa,Carga de sugerencia revisada (bloque 154)
407,Cebolla blanca,89,NA,70211036,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
522,Anís,87,NA,70222003,directa,Carga de sugerencia revisada (bloque 154)
261,Queso danés,83,NA,70201032,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
6,Pan baguette blanco,82,NA,70214112,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
4882,Salami de pollo,80,NA,70207024,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
185,Salchichas tipo Viena,78,NA,70207027,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
334,Melón cantaloupe redondo,75,NA,70212096,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
183,Salchichas de hot-dog,74,NA,70207050,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
379,Lentejas,73,NA,70209029,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
269,Queso picantino parmesano rallado,68,NA,70201121,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
145,Mondongo de res,66,NA,70205038,directa,Carga de sugerencia revisada (bloque 154)
318,Coco de agua,64,NA,70212021,directa,Carga de sugerencia revisada (bloque 154)
4916,Atún en trozo en agua,64,NA,70208020,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
321,Guanábana,63,NA,70212050,directa,Carga de sugerencia revisada (bloque 154)
511,Jengibre,59,NA,70211087,directa,Carga de sugerencia revisada (bloque 154)
