id_variedad,descripcion_engih,enhance_id_a_poner,nombre_en_incap,freq_registros,nota_existente,revisar_antes_de_copiar
608,Jugo envasado de manzana,70217143.0,"Jugo de manzana, s/azucar c/vit c, envasado",483,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
287,Huevos criollos (gallina),70202002.0,"Huevo de gallina, entero, crudo",396,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
532,Pimienta en polvo,70222019.0,Pimienta negra,330,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
312,Mango,70212080.0,"Mango, maduro",327,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
9,Pan integral,70214039.0,"Pan integral, tipo bollo",319,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
97,Carne molida de res,70205070.0,"Res, carne molida, magra (5% grasa), cruda",306,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3992,Manzana roja,70212190.0,"Manzana, roja, c/cascara",278,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
171,Jamón picnic,70207014.0,Jamon de cerdo y res {tipo picnic},278,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
2473,Azafrán,70222004.0,Azafran,259,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
21,Galletas integrales,70214103.0,Galletas integrales c/miel,255,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
80,Trigo,70213038.0,"Harina de trigo, s/enriquecer, todo uso",227,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
398,Remolacha,70211146.0,"Remolacha, hojas crudas",226,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,"Remolacha -> 'Remolacha, hojas crudas' (raiz vs hojas: PC y nutrientes distintos)"
117,Carne de gallina,70203003.0,"Gallo o gallina, carne cruda",219,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
214,Tilapia,70208056.0,"Pescado, tilapia, fresca",218,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
316,Cereza,70212054.0,"Guinda o cereza dulce, fresca",197,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4915,Atún en trozo en aceite,70208019.0,"Pescado, atun enlatado c/aceite, solidos",182,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
297,Aceite de oliva,70216007.0,Aceite de oliva,150,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
131,Chuleta de cerdo fresca,70204044.0,"Cerdo, chuleta c/hueso, magra, cruda",145,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
277,Yogurt bebible natural,70201040.0,"Yogurt, leche descremada, natural",142,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,"Yogurt bebible natural -> 'Yogurt, leche descremada' (entero vs descremado)"
