variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;unidad_nombre;total_alimento;pct_del_alimento;pct_acumulado
5;AVENA;56.0;1621;Funda;2438;66.489;9.9
4;HARÍNA DE MAÍZ;56.0;1524;Funda;1685;90.445;19.2
17;MANTEQUILLA;105.0;1245;Tarro;1556;80.013;26.9
13;LECHE LÍQUIDA;31.0;1207;Cartón;1913;63.095;34.2
6;FIEDOS O SPAGUETTIS (PASTAS);56.0;995;Funda;2840;35.035;40.3
6;FIEDOS O SPAGUETTIS (PASTAS);8.0;755;Paquete;2840;26.585;44.9
14;LECHE EN POLVO;63.0;611;Lata;1550;39.419;48.7
3;GALLETAS SALADAS;8.0;593;Paquete;1274;46.546;52.3
28;HABICHUELAS ENLATADAS;63.0;568;Lata;701;81.027;55.8
20;SARDINAS EN ACEITE;63.0;444;Lata;476;93.277;58.5
14;LECHE EN POLVO;56.0;436;Funda;1550;28.129;61.2
21;PICA PICA;63.0;434;Lata;468;92.735;63.8
23;ATÚN EN ACEITE;63.0;407;Lata;467;87.152;66.3
22;ATÚN EN AGUA;63.0;388;Lata;435;89.195;68.7
2;GALLETAS DULCES;8.0;353;Paquete;741;47.638;70.8
16;ACEITE;20.0;327;Botella;4937;6.623;72.8
16;ACEITE;87.0;313;Pote;4937;6.34;74.8
19;SARDINAS EN AGUA;63.0;308;Lata;351;87.749;76.6
30;CHOCOLATE O COCOA;87.0;290;Pote;1602;18.102;78.4
30;CHOCOLATE O COCOA;99.0;271;;1602;16.916;80.1
30;CHOCOLATE O COCOA;23.0;248;Caja;1602;15.481;81.6
1;PANES;56.0;205;Funda;1373;14.931;82.8
29;AZUCARES;56.0;196;Funda;4186;4.682;84.0
18;SALAMI;81.0;185;Pieza;1850;10.0;85.2
27;HABICHUELAS SUELTAS;56.0;179;Funda;2484;7.206;86.3
13;LECHE LÍQUIDA;87.0;161;Pote;1913;8.416;87.3
30;CHOCOLATE O COCOA;98.0;157;Sobre;1602;9.8;88.2
13;LECHE LÍQUIDA;63.0;149;Lata;1913;7.789;89.1
14;LECHE EN POLVO;98.0;143;Sobre;1550;9.226;90.0
30;CHOCOLATE O COCOA;56.0;122;Funda;1602;7.615;90.7
7;ARROZ;56.0;108;Funda;4639;2.328;91.4
13;LECHE LÍQUIDA;23.0;100;Caja;1913;5.227;92.0
15;HUEVOS;31.0;93;Cartón;2732;3.404;92.6
3;GALLETAS SALADAS;23.0;90;Caja;1274;7.064;93.1
5;AVENA;8.0;87;Paquete;2438;3.568;93.7
5;AVENA;98.0;72;Sobre;2438;2.953;94.1
7;ARROZ;97.0;61;Saco;4639;1.315;94.5
9;POLLO;8.0;60;Paquete;917;6.543;94.8
16;ACEITE;56.0;57;Funda;4937;1.155;95.2
30;CHOCOLATE O COCOA;105.0;56;Tarro;1602;3.496;95.5
27;HABICHUELAS SUELTAS;8.0;47;Paquete;2484;1.892;95.8
1;PANES;117.0;46;Viga;1373;3.35;96.1
29;AZUCARES;8.0;41;Paquete;4186;0.979;96.4
3;GALLETAS SALADAS;56.0;39;Funda;1274;3.061;96.6
11;PESCADO;8.0;31;Paquete;365;8.493;96.8
30;CHOCOLATE O COCOA;25.0;30;Cajita;1602;1.873;97.0
17;MANTEQUILLA;55.0;29;Frasco;1556;1.864;97.1
13;LECHE LÍQUIDA;20.0;28;Botella;1913;1.464;97.3
10;CARNE DE CERDO;8.0;26;Paquete;595;4.37;97.5
8;CARNE DE RES;8.0;24;Paquete;545;4.404;97.6
17;MANTEQUILLA;14.0;23;Barrita;1556;1.478;97.8
16;ACEITE;98.0;22;Sobre;4937;0.446;97.9
2;GALLETAS DULCES;56.0;20;Funda;741;2.699;98.0
17;MANTEQUILLA;48.0;17;Cubo;1556;1.093;98.1
30;CHOCOLATE O COCOA;14.0;16;Barrita;1602;0.999;98.2
30;CHOCOLATE O COCOA;8.0;16;Paquete;1602;0.999;98.3
7;ARROZ;8.0;16;Paquete;4639;0.345;98.4
12;MARISCOS;8.0;14;Paquete;79;17.722;98.5
26;PAPAS;56.0;14;Funda;1217;1.15;98.6
18;SALAMI;80.0;14;;1850;0.757;98.7
25;GUINEITO VERDE;91.0;12;Racimo;1522;0.788;98.8
13;LECHE LÍQUIDA;55.0;12;Frasco;1913;0.627;98.8
4;HARÍNA DE MAÍZ;8.0;9;Paquete;1685;0.534;98.9
6;FIEDOS O SPAGUETTIS (PASTAS);23.0;9;Caja;2840;0.317;98.9
17;MANTEQUILLA;98.0;8;Sobre;1556;0.514;99.0
17;MANTEQUILLA;87.0;8;Pote;1556;0.514;99.0
2;GALLETAS DULCES;98.0;7;Sobre;741;0.945;99.1
26;PAPAS;8.0;7;Paquete;1217;0.575;99.1
14;LECHE EN POLVO;8.0;7;Paquete;1550;0.452;99.2
17;MANTEQUILLA;25.0;7;Cajita;1556;0.45;99.2
16;ACEITE;31.0;6;Cartón;4937;0.122;99.2
30;CHOCOLATE O COCOA;55.0;5;Frasco;1602;0.312;99.3
16;ACEITE;63.0;5;Lata;4937;0.101;99.3
24;PLÁTANO VERDE;91.0;5;Racimo;1837;0.272;99.3
5;AVENA;23.0;4;Caja;2438;0.164;99.4
6;FIEDOS O SPAGUETTIS (PASTAS);98.0;4;Sobre;2840;0.141;99.4
18;SALAMI;79.0;4;Pedazo;1850;0.216;99.4
2;GALLETAS DULCES;23.0;4;Caja;741;0.54;99.4
31;;23.0;4;Caja;23;17.391;99.5
25;GUINEITO VERDE;66.0;4;Mano;1522;0.263;99.5
17;MANTEQUILLA;60.0;4;Jarro;1556;0.257;99.5
13;LECHE LÍQUIDA;60.0;3;Jarro;1913;0.157;99.5
9;POLLO;56.0;3;Funda;917;0.327;99.5
63;;1.0;3;Unidad;3;100.0;99.6
13;LECHE LÍQUIDA;25.0;3;Cajita;1913;0.157;99.6
5;AVENA;87.0;3;Pote;2438;0.123;99.6
69;;56.0;2;Funda;2;100.0;99.6
56;;1.0;2;Unidad;5;40.0;99.6
56;;56.0;2;Funda;5;40.0;99.6
30;CHOCOLATE O COCOA;20.0;2;Botella;1602;0.125;99.6
14;LECHE EN POLVO;23.0;2;Caja;1550;0.129;99.7
17;MANTEQUILLA;63.0;2;Lata;1556;0.129;99.7
1;PANES;8.0;2;Paquete;1373;0.146;99.7
4;HARÍNA DE MAÍZ;23.0;2;Caja;1685;0.119;99.7
18;SALAMI;1.0;2;Unidad;1850;0.108;99.7
30;CHOCOLATE O COCOA;63.0;2;Lata;1602;0.125;99.7
2;GALLETAS DULCES;91.0;1;Racimo;741;0.135;99.7
2;GALLETAS DULCES;87.0;1;Pote;741;0.135;99.7
0;;99.0;1;;6;16.667;99.7
0;;63.0;1;Lata;6;16.667;99.7
2;GALLETAS DULCES;63.0;1;Lata;741;0.135;99.7
1;PANES;93.0;1;Rebanada;1373;0.073;99.8
5;AVENA;63.0;1;Lata;2438;0.041;99.8
5;AVENA;105.0;1;Tarro;2438;0.041;99.8
3;GALLETAS SALADAS;31.0;1;Cartón;1274;0.078;99.8
4;HARÍNA DE MAÍZ;98.0;1;Sobre;1685;0.059;99.8
9;POLLO;63.0;1;Lata;917;0.109;99.8
9;POLLO;25.0;1;Cajita;917;0.109;99.8
9;POLLO;1.0;1;Unidad;917;0.109;99.8
12;MARISCOS;23.0;1;Caja;79;1.266;99.8
15;HUEVOS;23.0;1;Caja;2732;0.037;99.8
13;LECHE LÍQUIDA;8.0;1;Paquete;1913;0.052;99.8
13;LECHE LÍQUIDA;56.0;1;Funda;1913;0.052;99.8
14;LECHE EN POLVO;1.0;1;Unidad;1550;0.065;99.8
27;HABICHUELAS SUELTAS;97.0;1;Saco;2484;0.04;99.8
27;HABICHUELAS SUELTAS;63.0;1;Lata;2484;0.04;99.8
27;HABICHUELAS SUELTAS;105.0;1;Tarro;2484;0.04;99.8
22;ATÚN EN AGUA;87.0;1;Pote;435;0.23;99.9
18;SALAMI;105.0;1;Tarro;1850;0.054;99.9
18;SALAMI;111.0;1;Trozo;1850;0.054;99.9
17;MANTEQUILLA;23.0;1;Caja;1556;0.064;99.9
26;PAPAS;91.0;1;Racimo;1217;0.082;99.9
18;SALAMI;113.0;1;;1850;0.054;99.9
22;ATÚN EN AGUA;23.0;1;Caja;435;0.23;99.9
22;ATÚN EN AGUA;31.0;1;Cartón;435;0.23;99.9
30;CHOCOLATE O COCOA;31.0;1;Cartón;1602;0.062;99.9
31;;47.0;1;;23;4.348;99.9
31;;25.0;1;Cajita;23;4.348;99.9
31;;8.0;1;Paquete;23;4.348;99.9
31;;1.0;1;Unidad;23;4.348;99.9
31;;56.0;1;Funda;23;4.348;99.9
31;;63.0;1;Lata;23;4.348;99.9
31;;87.0;1;Pote;23;4.348;99.9
31;;98.0;1;Sobre;23;4.348;100.0
33;;56.0;1;Funda;4;25.0;100.0
33;;8.0;1;Paquete;4;25.0;100.0
32;;63.0;1;Lata;10;10.0;100.0
32;;56.0;1;Funda;10;10.0;100.0
57;;1.0;1;Unidad;1;100.0;100.0
50;;56.0;1;Funda;1;100.0;100.0
73;;97.0;1;Saco;1;100.0;100.0
87;;87.0;1;Pote;1;100.0;100.0
