id_variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;pct_acumulado
569;Caldo de pollo (Sopita Concentrada);47.0;15939;13.8
545;Pasta de tomate(**);98.0;11229;23.5
581;Café molido;98.0;7574;30.1
588;Refrescos;20.0;6525;35.8
552;Sazón en polvo;98.0;5118;40.2
293;Aceite de soya;87.0;3940;43.6
588;Refrescos;87.0;2886;46.1
243;Leche entera liquida con UHT;31.0;2884;48.6
23;Galletas saladas;8.0;2773;51.0
293;Aceite de soya;98.0;2597;53.3
254;Leche evaporada;63.0;2537;55.5
586;Chocolate en barra;99.0;2057;57.2
610;Jugo envasado de naranja;31.0;2017;59.0
649;Malta;20.0;1868;60.6
620;Jugo de frutas en polvo;98.0;1680;62.1
553;Sazón líquido;98.0;1493;63.4
237;Sardinas en salsa de tomate;63.0;1311;64.5
594;Agua purificada (Dasani, Planeta Azul y similares);20.0;1219;65.6
554;Vinagre dorado;87.0;1167;66.6
587;Cocoa y chocolate en polvo;98.0;1064;67.5
569;Caldo de pollo (Sopita Concentrada);48.0;1059;68.4
447;Maíz enlatado;63.0;935;69.2
2;Pan sobado;56.0;924;70.0
523;Canela en astilla;98.0;909;70.8
439;Guandules verdes en lata;63.0;888;71.6
303;Margarina;98.0;877;72.3
293;Aceite de soya;20.0;798;73.0
611;Jugo envasado de pera;31.0;777;73.7
20;Galletas dulces;8.0;736;74.3
56;Harinas de maíz;56.0;724;75.0
19;Galletas de soda;8.0;720;75.6
579;Snacks y picaderas de todo tipo (excepto papitas fritas);56.0;718;76.2
645;Cerveza clara;20.0;703;76.8
545;Pasta de tomate(**);63.0;641;77.4
541;Mayonesa;98.0;512;77.8
71;Avena en hojuela o entera;98.0;504;78.3
457;Papas fritas (snack y picaderas);56.0;482;78.7
506;Sal molida refinada;56.0;446;79.1
569;Caldo de pollo (Sopita Concentrada);99.0;416;79.4
594;Agua purificada (Dasani, Planeta Azul y similares);87.0;388;79.8
608;Jugo envasado de manzana;31.0;386;80.1
4919;Leche líquida con chocolate;31.0;344;80.4
1;Pan de agua;56.0;333;80.7
552;Sazón en polvo;87.0;330;81.0
410;Ajo;22.0;302;81.2
71;Avena en hojuela o entera;56.0;301;81.5
243;Leche entera liquida con UHT;87.0;298;81.7
66;Arroz selecto;56.0;293;82.0
571;Sopa instantánea (sopa china);98.0;283;82.2
88;Spaghetti;56.0;280;82.5
432;Ensalada cruda (Varias hortalizas);56.0;274;82.7
254;Leche evaporada;31.0;271;83.0
610;Jugo envasado de naranja;87.0;269;83.2
536;Ajo en pasta;98.0;262;83.4
2473;Azafrán;98.0;255;83.6
534;Orégano;98.0;252;83.9
573;Compota;87.0;248;84.1
5752;Caldo de pollo en polvo;98.0;247;84.3
527;Malagueta;98.0;245;84.5
581;Café molido;8.0;244;84.7
616;Jugo envasado de coctel de frutas (fruit punch);31.0;243;84.9
2551;Guandules con coco;63.0;235;85.1
243;Leche entera liquida con UHT;23.0;230;85.3
275;Yogurt bebible saborizado;87.0;230;85.5
569;Caldo de pollo (Sopita Concentrada);23.0;228;85.7
542;Kétchup;98.0;221;85.9
293;Aceite de soya;33.0;220;86.1
251;Leche en polvo entera;98.0;218;86.3
88;Spaghetti;8.0;215;86.5
609;Jugo envasado de melocotón;31.0;215;86.7
532;Pimienta en polvo;98.0;213;86.8
594;Agua purificada (Dasani, Planeta Azul y similares);56.0;209;87.0
541;Mayonesa;87.0;203;87.2
235;Sardinas en aceite;63.0;190;87.4
553;Sazón líquido;87.0;185;87.5
652;Cigarrillos con filtro;24.0;183;87.7
4915;Atún en trozo en aceite;63.0;182;87.8
5692;Té frio en polvo;98.0;171;88.0
303;Margarina;105.0;160;88.1
581;Café molido;56.0;153;88.3
565;Vainilla blanca;87.0;146;88.4
610;Jugo envasado de naranja;20.0;144;88.5
535;Orégano en polvo;98.0;141;88.6
21;Galletas integrales;8.0;140;88.8
496;Hielo industrializado;56.0;137;88.9
610;Jugo envasado de naranja;23.0;135;89.0
282;Leche de coco;63.0;133;89.1
525;Clavo dulce;98.0;130;89.2
611;Jugo envasado de pera;63.0;129;89.3
66;Arroz selecto;97.0;127;89.4
87;Fideos;56.0;118;89.5
592;Bebidas hidratantes (Gatorade, Powerade y similares);87.0;115;89.6
247;Leche descremada liquida con UHT;31.0;110;89.7
288;Huevos de granja (gallina);31.0;106;89.8
573;Compota;98.0;103;89.9
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);56.0;103;90.0
506;Sal molida refinada;98.0;102;90.1
435;Alcaparrado (aceitunas y alcaparras);98.0;101;90.2
622;Ron extra añejo (extra viejo y similares);20.0;92;90.3
506;Sal molida refinada;87.0;92;90.3
251;Leche en polvo entera;56.0;92;90.4
255;Leche condensada;63.0;90;90.5
307;Mantequilla;98.0;90;90.6
565;Vainilla blanca;98.0;89;90.7
23;Galletas saladas;56.0;88;90.7
277;Yogurt bebible natural;87.0;88;90.8
3506;Bizcocho envasado de vainilla;56.0;88;90.9
259;Suplementos alimenticios (Ensure y similares);87.0;87;91.0
355;Maní tostado;56.0;86;91.0
23;Galletas saladas;98.0;82;91.1
650;Extracto de malta;20.0;81;91.2
569;Caldo de pollo (Sopita Concentrada);98.0;79;91.2
623;Ron añejo;20.0;78;91.3
459;Azúcar morena;56.0;78;91.4
625;Ron dorado;20.0;78;91.4
649;Malta;87.0;78;91.5
443;Habichuelas rojas enlatadas;63.0;77;91.6
579;Snacks y picaderas de todo tipo (excepto papitas fritas);98.0;77;91.6
542;Kétchup;87.0;76;91.7
658;Picadura de tabaco;98.0;75;91.8
501;Paletas, mentas;56.0;74;91.8
19;Galletas de soda;23.0;73;91.9
546;Salsa china;98.0;73;92.0
640;Vino moscatel (La Fuerza y similares);20.0;73;92.0
3021;Leche evaporada con sabor a queso;63.0;73;92.1
86;Coditos;56.0;72;92.2
297;Aceite de oliva;98.0;71;92.2
21;Galletas integrales;56.0;71;92.3
256;Leches reforzadas con hierro y minerales (fórmula infantil),;63.0;70;92.3
242;Leche fresca o cruda de vaca;20.0;69;92.4
185;Salchichas tipo Viena;63.0;69;92.5
67;Arroz corriente;56.0;68;92.5
256;Leches reforzadas con hierro y minerales (fórmula infantil),;98.0;67;92.6
20;Galletas dulces;56.0;67;92.6
433;Aceitunas verdes con semillas;98.0;66;92.7
4461;Pasa deshidratada;23.0;66;92.8
293;Aceite de soya;56.0;65;92.8
592;Bebidas hidratantes (Gatorade, Powerade y similares);20.0;64;92.9
554;Vinagre dorado;98.0;64;92.9
3809;Macarroni & Cheese;23.0;63;93.0
76;Corn Flakes (incluye rice flakes, cereales de chocolates, frutas y demás);23.0;63;93.0
4149;Galletas rellenas de queso;8.0;62;93.1
67;Arroz corriente;97.0;62;93.1
4461;Pasa deshidratada;25.0;61;93.2
4916;Atún en trozo en agua;63.0;61;93.2
600;Jugo concentrado de naranja;31.0;60;93.3
9;Pan integral;56.0;59;93.3
522;Anís;98.0;58;93.4
586;Chocolate en barra;23.0;54;93.4
18;Galletas de harina / Galleta de manteca;56.0;54;93.5
497;Hielo casero;56.0;53;93.5
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);23.0;52;93.6
658;Picadura de tabaco;56.0;50;93.6
451;Vegetales mixtos enlatados;63.0;50;93.7
245;Leche semidescremada liquida con UHT;31.0;50;93.7
58;Harina de trigo;56.0;49;93.8
251;Leche en polvo entera;63.0;49;93.8
624;Ron blanco;20.0;49;93.8
638;Vino tinto;20.0;49;93.9
51;Cazabe;8.0;49;93.9
586;Chocolate en barra;98.0;48;94.0
369;Habichuelas rojas secas;63.0;48;94.0
515;Cilantrico o verdura;12.0;47;94.0
59;Harina de negrito (fécula de trigo);23.0;46;94.1
410;Ajo;51.0;45;94.1
243;Leche entera liquida con UHT;25.0;45;94.2
591;Bebidas energizantes (911, Vive100 y similares);87.0;44;94.2
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);25.0;44;94.2
616;Jugo envasado de coctel de frutas (fruit punch);87.0;43;94.3
610;Jugo envasado de naranja;25.0;42;94.3
236;Sardinas en agua y sal;63.0;42;94.4
376;Guandules verdes desgranados;63.0;42;94.4
649;Malta;8.0;41;94.4
611;Jugo envasado de pera;25.0;41;94.5
573;Compota;55.0;41;94.5
6467;Sopa con fideo (Maggie, Knorr y similares);98.0;41;94.5
368;Habichuelas pintas secas;56.0;40;94.6
563;Pimienta en granos;98.0;40;94.6
435;Alcaparrado (aceitunas y alcaparras);87.0;40;94.6
629;Whisky;20.0;40;94.7
569;Caldo de pollo (Sopita Concentrada);25.0;40;94.7
324;Guineo verde (guineíto);91.0;39;94.7
635;Ponches;20.0;39;94.8
13;Pan de sándwich rebanado blanco;56.0;38;94.8
608;Jugo envasado de manzana;25.0;36;94.8
554;Vinagre dorado;20.0;36;94.9
545;Pasta de tomate(**);56.0;35;94.9
410;Ajo;98.0;35;94.9
269;Queso picantino parmesano rallado;98.0;35;95.0
297;Aceite de oliva;87.0;35;95.0
612;Jugo envasado de piña;31.0;35;95.0
442;Habichuelas negras enlatadas;63.0;34;95.0
587;Cocoa y chocolate en polvo;87.0;33;95.1
