id_variedad;descripcion_engih;sugerencia_ID;sugerencia_nombre;freq_registros;edible_incap;decision
608;Jugo envasado de manzana;70217143;Jugo de manzana, s/azucar c/vit c, envasado;483;1;OK
287;Huevos criollos (gallina);70202002;Huevo de gallina, entero, crudo;396;0.88;OK
532;Pimienta en polvo;70222019;Pimienta negra;330;1;OK
312;Mango;70212080;Mango, maduro;327;0.71;OK
9;Pan integral;70214039;Pan integral, tipo bollo;319;1;OK
97;Carne molida de res;70205070;Res, carne molida, magra (5% grasa), cruda;306;1;OK
3992;Manzana roja;70212190;Manzana, roja, c/cascara;278;0.89;OK
171;Jamón picnic;70207014;Jamon de cerdo y res {tipo picnic};278;1;OK
2473;Azafrán;70222004;Azafran;259;1;OK
21;Galletas integrales;70214103;Galletas integrales c/miel;255;1;OK
80;Trigo;70213038;Harina de trigo, s/enriquecer, todo uso;227;1;OK
398;Remolacha;70211146;Remolacha, hojas crudas;226;0.56;DUDOSA
117;Carne de gallina;70203003;Gallo o gallina, carne cruda;219;1;OK
214;Tilapia;70208056;Pescado, tilapia, fresca;218;1;OK
316;Cereza;70212054;Guinda o cereza dulce, fresca;197;0.92;OK
4915;Atún en trozo en aceite;70208019;Pescado, atun enlatado c/aceite, solidos;182;1;OK
297;Aceite de oliva;70216007;Aceite de oliva;150;1;OK
131;Chuleta de cerdo fresca;70204044;Cerdo, chuleta c/hueso, magra, cruda;145;0.69;OK
277;Yogurt bebible natural;70201040;Yogurt, leche descremada, natural;142;1;DUDOSA
57;Maicena (fécula de maíz) /Maicera (harina de maíz procesada);70213044;Maicena o almidon de maiz;141;1;OK
426;Lechuga romana;70211179;Lechuga romana;141;0.94;OK
165;Jamón ahumado;70207032;Jamon de pavo, ahumado, bajo en grasa;132;1;OK
348;Tamarindo;70212138;Tamarindo, fresco;132;0.34;OK
528;Nuez moscada;70222016;Nuez moscada, molida;131;1;OK
132;Costillas-pecho de cerdo;70204009;Cerdo, costilla, cruda;127;0.63;OK
112;Pechuga de pollo;70203038;Pollo, pechuga c/piel, cruda;118;0.8;OK
121;Hígado de pollo;70207020;Pate, higado de pollo, envasado;109;1;OK
322;Guayaba;70212052;Guayaba madura;106;0.82;OK
384;Yautía coco o pipiota;70211195;Yautia, cruda;106;0.86;OK
327;Zapote;70212065;Injerto o zapote verde;105;0.59;OK
5599;Pan dulce;70214029;Pan dulce, de coco;102;1;DUDOSA
169;Jamón de pavo;70207032;Jamon de pavo, ahumado, bajo en grasa;93;1;OK
407;Cebolla blanca;70211036;Cebolla, cabeza;89;0.91;OK
522;Anís;70222003;Anis, semilla;87;1;OK
261;Queso danés;70201032;Queso gouda;83;1;OK
6;Pan baguette blanco;70214112;Pan baguette;82;1;OK
4882;Salami de pollo;70207024;Salchicha, de pollo;80;1;OK
185;Salchichas tipo Viena;70207027;Salchicha, tipo viena, envasada (pollo&res&cerdo);78;1;OK
334;Melón cantaloupe redondo;70212096;Melon corrugado o cantaloupe;75;0.51;OK
183;Salchichas de hot-dog;70207050;Salchicha, de cerdo;74;1;OK
379;Lentejas;70209029;Lenteja, grano seco, grano crudo;73;1;OK
269;Queso picantino parmesano rallado;70201121;Queso parmesano, rallado;68;1;OK
145;Mondongo de res;70205038;Res, panza o mondongo, crudo;66;0.95;OK
318;Coco de agua;70212021;Coco, agua de;64;1;OK
4916;Atún en trozo en agua;70208020;Pescado, atun enlatado c/agua, solidos;64;1;OK
321;Guanábana;70212050;Guanabana o guanaba;63;0.67;OK
511;Jengibre;70211087;Gengibre o jengibre, raiz;59;0.93;OK
347;Sandía (patilla);70212134;Sandia;59;0.52;OK
101;Pecho;70205079;Res, posta de pecho, magra, cruda;56;0.9;OK
143;Hígado de res;70205032;Res, higado, crudo;54;1;OK
412;Coliflor;70211043;Coliflor, blanca, cruda;53;0.39;OK
209;Mero;70208031;Pescado,mero, fresco;53;0.57;OK
451;Vegetales mixtos enlatados;70211194;Vegetales mixtos, enlatados, cisal, escurridos;50;1;OK
162;Tocino;70204020;Cerdo, tocino curado, no preparado;48;1;OK
467;Dulce de leche;70201067;Suero dulce de leche;47;1;OK
3807;Macarrones;70213073;Pasta enlatada, macarrones c/queso;47;1;OK
335;Melón liso;70212097;Melon liso o melon casaba;44;0.6;OK
208;Merluza;70208030;Pescado,merluza,fresca;43;0.64;OK
127;Pierna de cerdo;70204017;Cerdo, pierna semi magra, cruda;43;0.83;OK
404;Berro;70211025;Berro. crudo;43;0.92;OK
