variable,clase
trimestre,numeric
replica,numeric
ano,numeric
mes,numeric
decena,numeric
estrato,numeric
des_estrato,character
id_provincia,numeric
des_provincia,character
id_municipio,numeric
des_municipio,character
id_distrito_municipal,numeric
des_distrito_municipal,character
id_seccion,numeric
des_seccion,character
id_barrio_paraje,numeric
des_barrio_paraje,character
upm,numeric
factor_expansion,numeric
orden,numeric
vivienda,numeric
hogar,numeric
miembro,numeric
encuestador_id,numeric
supervisor_id,numeric
coordinador_id,numeric
holgura,numeric
perdida_turismo,numeric
paraje,character
miembro_telefono,numeric
orden_croquis,numeric
alumbrado_publico,numeric
calles_asfaltadas,numeric
a101,numeric
a102,numeric
a201,numeric
a201_pisos,numeric
a201_aptos,numeric
a201_esp,logical
a202a,numeric
a202a_esp,logical
a202b,numeric
a202b_esp,character
a202c,numeric
a202c_esp,character
a202d,numeric
a202d_esp,character
a203_pared,numeric
a203_techo,numeric
a203_piso,numeric
a204,numeric
a204_esp,logical
a205,numeric
a206,numeric
a207,numeric
a208,numeric
a209,numeric
a210,numeric
a211,numeric
a212,numeric
a213,numeric
a213_esp,character
a214,numeric
a214_esp,character
a215,numeric
a215_esp,logical
a216,numeric
a217,numeric
a218,numeric
a218_esp,character
a219,numeric
a219_esp,logical
a220a,numeric
a220a_cuantos,numeric
a220b,numeric
a220b_cuantos,numeric
a220c,numeric
a220c_cuantos,numeric
a221,numeric
a222,numeric
a222_esp,character
a223,numeric
a224,numeric
a224_esp,character
a301,numeric
a301_esp,logical
a302,numeric
a302a,numeric
a302b,numeric
a302c,numeric
a302d,numeric
a302e,numeric
a302f,numeric
a302g,numeric
a302h,numeric
a302i,numeric
a302j,numeric
a302k,numeric
a303,numeric
a303_cuantos,numeric
a304a,numeric
a304b,numeric
a304c,numeric
a304d,numeric
a304e,numeric
a304f,numeric
a304g,numeric
a304h,numeric
a304i,numeric
a304i_esp,character
a305,numeric
a306,numeric
a307a,numeric
a307b,numeric
a307c,numeric
a307d,numeric
a307e,numeric
a307e_esp,character
a308,numeric
a308_cant,numeric
a309,numeric
a309_cant,numeric
a309_autos_exc,numeric
a309_motos_exc,numeric
a309_otros_exc,numeric
a309_autos_neg,numeric
a309_motos_neg,numeric
a309_otros_neg,numeric
a309_autos_comp,numeric
a309_motos_comp,numeric
a309_otros_comp,numeric
a309_autos_asig,numeric
a309_motos_asig,numeric
