vivienda;hogar;variedad;descripcion;id_unidad_medida_presentacion;cantidad_unidades_presentacion;contenido_empaque_presentacion;id_unidad_medida;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar;factor_anual
279;1;24;PLÁTANO VERDE;NA;NA;NA;1;4;0;4;415.510416666666
279;1;25;GUINEITO VERDE;NA;NA;NA;66;2;0;2;415.510416666666
279;1;29;AZUCARES;NA;NA;NA;2;1;0;1;415.510416666666
232;1;5;AVENA;56;1;1;2;0.5;0;0.5;690.08260726615
232;1;7;ARROZ;NA;NA;NA;2;19;0;19;690.08260726615
232;1;12;MARISCOS;NA;NA;NA;2;0.5;0;0.5;690.08260726615
232;1;13;LECHE LÍQUIDA;NA;NA;NA;7;0.5;0;0.5;690.08260726615
232;1;15;HUEVOS;NA;NA;NA;1;12;0;12;690.08260726615
232;1;16;ACEITE;NA;NA;NA;4;32;0;32;690.08260726615
232;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1;0;1;690.08260726615
242;1;1;PANES;56;1;10;1;1;0;1;345.916666666667
242;1;3;GALLETAS SALADAS;56;1;12;1;1;0;1;345.916666666667
242;1;4;HARÍNA DE MAÍZ;56;1;14;4;1;1;0;345.916666666667
242;1;5;AVENA;56;1;16;4;2;0;2;345.916666666667
242;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;800;3;6;3;3;345.916666666667
242;1;7;ARROZ;56;1;10;2;1;0.5;0.5;345.916666666667
242;1;9;POLLO;NA;NA;NA;2;1;0;1;345.916666666667
242;1;10;CARNE DE CERDO;NA;NA;NA;2;3;1;2;345.916666666667
242;1;11;PESCADO;NA;NA;NA;2;2;0;2;345.916666666667
242;1;13;LECHE LÍQUIDA;NA;NA;NA;7;7;3;4;345.916666666667
242;1;16;ACEITE;57;1;64;4;1;0.5;0.5;345.916666666667
242;1;17;MANTEQUILLA;55;1;8;4;1;0.5;0.5;345.916666666667
242;1;20;SARDINAS EN ACEITE;63;1;8;4;2;1;1;345.916666666667
242;1;26;PAPAS;NA;NA;NA;2;1;0;1;345.916666666667
242;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;4;1;3;345.916666666667
242;1;29;AZUCARES;NA;NA;NA;2;2;1;1;345.916666666667
242;1;30;CHOCOLATE O COCOA;23;1;28;3;12;4;8;345.916666666667
243;1;4;HARÍNA DE MAÍZ;56;1;14;4;1;0;1;345.916666666667
243;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;800;3;1;0;1;345.916666666667
243;1;7;ARROZ;8;1;2;2;1;0;1;345.916666666667
243;1;13;LECHE LÍQUIDA;63;1;315;3;1;0;1;345.916666666667
243;1;21;PICA PICA;63;1;6;4;3;0;3;345.916666666667
243;1;29;AZUCARES;NA;NA;NA;2;1;0;1;345.916666666667
124;1;4;HARÍNA DE MAÍZ;56;1;16;4;1;0;1;788.6658368756
124;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;1;0;1;788.6658368756
124;1;7;ARROZ;NA;NA;NA;2;10;5;5;788.6658368756
124;1;14;LECHE EN POLVO;56;1;250;3;1;0;1;788.6658368756
124;1;16;ACEITE;57;1;8;2;1;0.75;0.25;788.6658368756
124;1;17;MANTEQUILLA;105;1;425;3;1;0.5;0.5;788.6658368756
124;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;2;1;1;788.6658368756
124;1;29;AZUCARES;NA;NA;NA;2;1;0;1;788.6658368756
124;1;30;CHOCOLATE O COCOA;23;1;26;3;12;6;6;788.6658368756
399;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;0;1;277.006944444444
399;1;7;ARROZ;NA;NA;NA;2;5;0;5;277.006944444444
399;1;15;HUEVOS;NA;NA;NA;1;30;10;20;277.006944444444
399;1;16;ACEITE;57;1;64;4;0.5;0;0.5;277.006944444444
399;1;17;MANTEQUILLA;105;1;1;2;0.5;0.2;0.3;277.006944444444
399;1;29;AZUCARES;NA;NA;NA;2;0.5;0;0.5;277.006944444444
422;1;5;AVENA;56;1;550;3;0.15;0;0.15;416.444999999999
422;1;7;ARROZ;NA;NA;NA;2;80;52;28;416.444999999999
422;1;11;PESCADO;NA;NA;NA;2;2;0;2;416.444999999999
422;1;16;ACEITE;57;1;235;5;0.5;0;0.5;416.444999999999
422;1;18;SALAMI;NA;NA;NA;2;1;0;1;416.444999999999
422;1;26;PAPAS;NA;NA;NA;2;20;0;20;416.444999999999
422;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;6;4;2;416.444999999999
422;1;29;AZUCARES;NA;NA;NA;2;2;0;2;416.444999999999
422;1;30;CHOCOLATE O COCOA;87;1;227;3;0.5;0;0.5;416.444999999999
337;1;7;ARROZ;NA;NA;NA;2;10;5;5;415.510416666666
337;1;16;ACEITE;57;1;1;57;0.78;0;0.75;415.510416666666
337;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1;0;1;415.510416666666
337;1;29;AZUCARES;NA;NA;NA;2;2;0;2;415.510416666666
364;1;1;PANES;56;1;12;1;0.5;0;0.5;378.586363636363
364;1;3;GALLETAS SALADAS;NA;NA;NA;1;7;0;7;378.586363636363
364;1;7;ARROZ;NA;NA;NA;2;7;4;3;378.586363636363
364;1;14;LECHE EN POLVO;63;1;1500;3;0.5;0;0.5;378.586363636363
364;1;16;ACEITE;NA;NA;NA;57;0.5;0.4;0.1;378.586363636363
364;1;17;MANTEQUILLA;105;1;1;2;0.5;0;0.5;378.586363636363
364;1;18;SALAMI;NA;NA;NA;2;0.8;0.65;0.15;378.586363636363
364;1;29;AZUCARES;NA;NA;NA;2;2;1.5;0.5;378.586363636363
340;1;4;HARÍNA DE MAÍZ;56;1;14;4;2;1;1;415.510416666666
340;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;0;1;415.510416666666
340;1;7;ARROZ;56;1;10;2;1;0;1;415.510416666666
340;1;9;POLLO;NA;NA;NA;2;3.5;0;3.5;415.510416666666
340;1;15;HUEVOS;NA;NA;NA;1;2;0;2;415.510416666666
340;1;16;ACEITE;NA;NA;NA;57;0.5;0.5;0;415.510416666666
340;1;19;SARDINAS EN AGUA;63;1;15;4;1;0;1;415.510416666666
340;1;22;ATÚN EN AGUA;63;1;142;3;1;0;1;415.510416666666
340;1;24;PLÁTANO VERDE;NA;NA;NA;1;7;0;7;415.510416666666
340;1;26;PAPAS;56;1;3;2;0.5;0;0.5;415.510416666666
340;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1;0;1;415.510416666666
340;1;28;HABICHUELAS ENLATADAS;NA;NA;NA;4;3;0;3;415.510416666666
340;1;29;AZUCARES;NA;NA;NA;2;1;0;1;415.510416666666
303;1;4;HARÍNA DE MAÍZ;56;2;1;2;2;2;0;277.006944444444
303;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;1;0;277.006944444444
303;1;7;ARROZ;NA;NA;NA;2;20;20;0;277.006944444444
303;1;13;LECHE LÍQUIDA;63;1;315;3;3;3;0;277.006944444444
303;1;16;ACEITE;57;1;2;7;1;0.25;0.75;277.006944444444
303;1;20;SARDINAS EN ACEITE;63;1;200;3;3;1;2;277.006944444444
303;1;29;AZUCARES;NA;NA;NA;2;2;0;2;277.006944444444
470;1;3;GALLETAS SALADAS;8;1;1;4;9;0;9;347.037499999999
470;1;5;AVENA;56;1;100;3;1;0;1;347.037499999999
470;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;2;0;2;347.037499999999
470;1;7;ARROZ;97;1;25;2;1;0.5;0.5;347.037499999999
470;1;13;LECHE LÍQUIDA;31;2;34;4;2;0;2;347.037499999999
470;1;16;ACEITE;57;1;128;4;1;0.5;0.5;347.037499999999
470;1;17;MANTEQUILLA;48;1;425;3;1.5;0.5;1;347.037499999999
470;1;18;SALAMI;NA;NA;NA;1;1;0.25;0.25;347.037499999999
470;1;28;HABICHUELAS ENLATADAS;63;2;15;4;1;0;1;347.037499999999
470;1;29;AZUCARES;56;1;1;2;1.5;0.5;0.5;347.037499999999
470;1;30;CHOCOLATE O COCOA;87;1;8;4;1;0.5;0.5;347.037499999999
339;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;400;3;1;0;1;415.510416666666
339;1;7;ARROZ;NA;NA;NA;2;15;5;10;415.510416666666
339;1;16;ACEITE;57;1;2;57;1;0;1;415.510416666666
339;1;25;GUINEITO VERDE;NA;NA;NA;1;8;0;8;415.510416666666
339;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;1.5;0;1.5;415.510416666666
339;1;28;HABICHUELAS ENLATADAS;63;2;15;4;1;0;1;415.510416666666
339;1;29;AZUCARES;NA;NA;NA;2;2;1;0;415.510416666666
339;1;30;CHOCOLATE O COCOA;105;1;8;4;0.25;0;0.25;415.510416666666
385;1;1;PANES;NA;NA;NA;1;4;0;4;462.716666666665
217;1;4;HARÍNA DE MAÍZ;56;1;14;4;3;2;1;389.15625
217;1;5;AVENA;56;1;1;2;1;0.5;0.5;389.15625
217;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;3;2;1;389.15625
217;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;389.15625
217;1;16;ACEITE;57;1;1;2;2.5;1;1.5;389.15625
217;1;17;MANTEQUILLA;105;1;1;2;1;0.5;0.5;389.15625
217;1;18;SALAMI;NA;NA;NA;2;1;0.5;0.5;389.15625
217;1;20;SARDINAS EN ACEITE;63;1;360;3;2;2;0;389.15625
217;1;24;PLÁTANO VERDE;NA;NA;NA;1;26;6;20;389.15625
27;1;18;SALAMI;NA;NA;NA;2;0.5;0;0.5;460.055071510766
27;1;25;GUINEITO VERDE;NA;NA;NA;1;4;0;4;460.055071510766
217;1;25;GUINEITO VERDE;NA;NA;NA;1;1;0;1;389.15625
