id_unidad_medida;des_unidad_medida
1;Unidad
2;Libra
3;Gramos
4;Onza
5;Mililitros o CC
6;Servicio
7;Litro
8;Paquete
9;Par
10;Evento
11;Ampolla
12;Atado
13;Barril
14;Barrita
15;Blister
16;Bloque
17;Bola
18;Boleto
19;Bolita
20;Botella
21;Botellón
22;Cabeza
23;Caja
24;Cajetilla
25;Cajita
26;Cajón
27;Camión
28;Cápsula
29;Carga
30;Carrera de taxi
31;Cartón
32;Centímetro cúbico (cc)
33;Chata
34;Ciento
35;Cilindro
36;Combo
37;Comprimido
38;Conito
39;Conjunto
40;Copias
41;Copita plástica
42;Corte
43;Cuadrillo
44;Cuartillo
45;Cuarto
46;Cubeta
47;Cubito
48;Cubo
49;Cucharada
50;Día
51;Diente
52;Docena
53;Estilla
54;Estuche
55;Frasco
56;Funda
57;Galón
58;Hora
59;Huacal
60;Jarro
61;Kilogramos
62;Kilovatios
63;Lata
64;Lavada
65;Limpieza
66;Mano
67;Mata
68;Mensualidad ó mes
69;Metro
70;Metros cuadrados
71;Metros cúbicos
72;Miligramos
73;Millar
74;Minutos
75;Noche
76;Pasaje
77;Pasta o barra
78;Pastillas
79;Pedazo
80;Pié
81;Pieza
82;Pila
83;Pilita
84;Pinta
85;Plato
86;Porción
87;Pote
88;Pulgadas
89;Puñito
90;Quintal
91;Racimo
92;Ramita
93;Rebanada
94;Rodaja
95;Rollito
96;Rollo
97;Saco
98;Sobre
99;Tableta
100;Tallo (legumbre)
101;Tanque
102;Tanque (p/líquido)
103;Tarea
104;Tarifa
105;Tarro
106;Taza
107;Tercia
108;Tira
109;Tonelada
110;Torta
111;Trozo
112;Tubo
113;Vara
114;Vasito
115;Vaso
116;Vidrio
117;Viga
118;Yarda
119;Ticket
120;Resma de papel
